STATION,NAME,DATE,PRCP,TMAX,TMIN,TOBS
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-01,0,64,35,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-02,0,62,42,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-03,0.28,56,44,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-04,0.03,68,46,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-05,0.04,65,48,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-06,0.03,60,44,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-07,0,53,38,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-08,1.6,56,48,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-09,0.51,59,51,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-10,0,57,45,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-11,0,63,45,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-12,0,58,43,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-13,0,51,44,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-14,0,54,46,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-15,0,62,42,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-16,0,61,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-17,0,59,47,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-18,0.19,65,47,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-19,0.04,56,39,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-20,0,57,30,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-21,0,57,31,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-22,0.09,57,48,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-23,0,58,40,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-24,0.3,60,35,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-25,0.14,55,38,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-26,0.01,57,37,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-27,0,63,34,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-28,0,65,43,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-29,0,59,40,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-30,0,69,40,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-01-31,0,70,38,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-01,0,74,42,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-02,0,75,43,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-03,0,74,45,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-04,0,73,45,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-05,0,76,42,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-06,0,74,46,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-07,0,71,41,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-08,0,75,39,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-09,0,78,40,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-10,0,71,42,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-11,0,61,38,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-12,0,59,38,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-13,0,65,36,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-14,0,63,33,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-15,0,63,36,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-16,0,68,30,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-17,0,71,34,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-18,0,57,39,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-19,0,52,30,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-20,0,54,26,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-21,0,55,31,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-22,0.01,54,34,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-23,0,53,27,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-24,0,57,26,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-25,0,62,29,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-26,0.44,53,39,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-27,0,57,33,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-02-28,0.03,56,29,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-01,0.76,58,45,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-02,0.34,55,38,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-03,0.12,52,35,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-04,0.01,56,34,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-05,0,58,31,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-06,0,63,35,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-07,0,72,44,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-08,0.05,70,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-09,0,67,45,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-10,0,59,45,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-11,0,68,39,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-12,0.12,73,45,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-13,0.34,61,48,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-14,0.17,54,44,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-15,0.07,56,37,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-16,0.37,54,44,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-17,0.55,53,35,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-18,0,56,32,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-19,0,62,33,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-20,0.26,54,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-21,0.07,68,51,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-22,0.65,63,43,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-23,0,59,37,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-24,0.06,56,44,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-25,0,58,35,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-26,0,65,33,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-27,0,73,38,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-28,0,77,43,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-29,0,81,46,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-30,0,82,47,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-03-31,0,80,46,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-01,0,75,42,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-02,0,72,48,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-03,0,75,41,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-04,0,72,48,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-05,0.07,64,49,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-06,0.68,63,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-07,0.41,66,49,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-08,0,67,46,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-09,0,75,43,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-10,0,68,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-11,0.14,64,44,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-12,0,60,39,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-13,0,71,38,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-14,0,76,44,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-15,0.1,65,47,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-16,0.21,54,41,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-17,0,63,36,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-18,0,60,42,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-19,0,67,37,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-20,0,77,42,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-21,0,82,43,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-22,0,84,48,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-23,0,85,51,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-24,0,78,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-25,0,75,49,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-26,0,69,49,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-27,0,67,51,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-28,0,64,49,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-29,0,65,49,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-04-30,0,64,47,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-01,0,72,45,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-02,0,73,46,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-03,0,72,49,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-04,0,83,47,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-05,0,76,49,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-06,0,68,48,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-07,0,81,48,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-08,0,79,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-09,0,72,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-10,0,75,49,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-11,0,80,48,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-12,0,79,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-13,0,71,51,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-14,0,67,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-15,0,68,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-16,0,68,52,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-17,0,72,51,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-18,0,71,51,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-19,0,65,51,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-20,0,64,52,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-21,0,75,51,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-22,0,66,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-23,0,66,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-24,0,66,52,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-25,0,65,52,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-26,0,70,51,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-27,0,84,47,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-28,0,95,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-29,0,93,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-30,0,69,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-31,0,64,48,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-01,0,83,46,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-02,0,96,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-03,0,98,58,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-04,0,82,52,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-05,0,74,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-06,0,68,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-07,0,72,52,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-08,0,83,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-09,0,71,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-10,0,77,46,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-11,0,87,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-12,0,96,56,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-13,0,93,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-14,0,85,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-15,0,77,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-16,0,78,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-17,0,,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-18,0,83,60,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-19,0,87,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-20,0,81,52,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-21,0,88,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-22,0,99,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-23,0,102,61,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-24,0,87,59,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-25,0,83,57,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-26,0,87,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-27,0,78,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-28,0,79,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-29,0,91,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-30,0,98,57,
